ET Within_ET_space
P60 ET_B TRUE
P14 ET_P TRUE
P54 ET_B TRUE
P86 ET_B TRUE
P68 ET_B TRUE
P05 ET_P TRUE
P15 ET_B TRUE
P16 ET_B TRUE
P52 ET_P TRUE
P44 ET_B TRUE
P58 ET_P TRUE
P42 ET_B TRUE
P85 ET_P TRUE
P41 ET_B TRUE
P19 ET_P TRUE
P43 ET_P TRUE
P62 ET_B TRUE
P33 ET_P TRUE
P76 ET_P TRUE
P73 ET_B TRUE
P61 ET_B TRUE
P20 ET_B TRUE
P26 ET_B TRUE
P37 ET_B TRUE
P69 ET_P TRUE
P25 ET_B TRUE
P50 ET_B TRUE
P83 ET_B TRUE
P56 ET_B TRUE
P79 ET_B TRUE
P57 ET_B TRUE
P66 ET_P TRUE
P78 ET_B TRUE
P81 ET_B TRUE
P80 ET_B TRUE
P72 ET_B TRUE
P49 ET_P TRUE
P67 ET_B TRUE
P46 ET_B TRUE
P82 ET_P TRUE
P75 ET_B TRUE
