Genus	P86	P60	P54	P16	P68	P14	P15	P44	P05	P58	P42	P52	P41	P85	P19	P43	P62	P76	P73	P61	P25	P26	P33	P20	P69	P37	P56	P50	P83	P66	P78	P79	P57	P72	P67	P81	P80	P46	P49	P75	P82
Abiotrophia	7.66208399997678e-07	1.49640285375542e-06	1.21786100919031e-06	1.35065044036555e-05	2.14512834457371e-06	9.40885357332566e-06	5.03634750290759e-05	9.74849458965623e-07	7.72838248487262e-06	5.59609490722773e-06	9.90580219408329e-07	4.58441297285843e-06	1.56795247587376e-06	2.53487959318128e-06	1.1571860971374e-05	9.73530281577635e-06	2.16868785548411e-06	6.09116327590881e-06	4.2290360984459e-06	2.64040896940135e-06	4.49560228118569e-06	1.08357752998664e-06	1.27458915382677e-06	4.96476474253965e-06	9.90892871696629e-07	4.41208042240305e-06	1.15664670900164e-06	2.53824404302359e-06	1.22411082681544e-06	2.30456246080928e-06	3.02698713847783e-05	5.34666309997885e-06	0.000141315018458698	1.44743140420103e-05	6.00044942826786e-07	3.76026414791327e-05	3.84492518433315e-06	2.15767083747609e-06	4.28829893356473e-06	5.32990663895959e-07	1.06744008738365e-05
Acetivibrio	0	0	1.83192089228386e-07	0	3.7432374505264e-07	1.17113306518069e-06	0	0	0	5.36564016991351e-06	5.28060193231296e-05	3.02551606177067e-06	4.90624126382522e-08	2.7747912681662e-06	0	2.41596192164029e-07	3.12570420850251e-06	4.77391218142947e-05	0	0	0	0	0	1.29457957996417e-06	0	1.10194464694126e-05	8.60773965047254e-07	2.34193206519287e-07	0	1.95237252760309e-07	1.35843328882798e-06	4.03083247667781e-07	1.72381213365835e-05	3.81086134453006e-07	0	7.43789337962381e-07	2.48196695259457e-07	4.85775002162249e-08	7.86437346315583e-07	3.1885991463978e-06	4.62293347568304e-06
Acetobacter	0	0	0	0	0	0	0	2.5489285156579e-07	0	0	0	0	0	5.14020028836237e-07	0	0	6.59696203911419e-06	2.49005919091761e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45840970569897e-07
Acetobacterium	0	0	0	0	0	0	5.66014901316444e-08	0	0	0	0	0	0	5.60749122366804e-08	0	0	0	6.09810414102272e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.91326772517985e-08	0	0	0	0	3.01029759881507e-07
Acetonema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17930834029579e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	3.43022491310318e-07	0	0	0	0	0	1.31388309782165e-07	0	1.51725560333818e-07	2.83583180664008e-07	0	0	1.931367385298e-07	0	3.09364637579269e-08	0	0	1.43506642880685e-07	0	0	3.22283269161409e-08	3.94978615472705e-07	1.50877644669171e-07	3.17524452958818e-08	1.30323700436906e-06	1.28831330383527e-07	0	0	0	0	0	6.87939491910465e-07	1.077492015331e-07	0	0	0	0	3.16582121685472e-08	0	3.02884152652851e-08
Acidaminococcus	5.89753603269236e-05	6.05250513954018e-06	5.17757041557942e-05	3.21490880920409e-05	1.82749399731327e-05	2.71707320447326e-06	4.74857852131961e-06	4.46047059076273e-05	1.53322246120543e-05	1.18310484588504e-06	0.00041789157897426	0.000197427252426877	1.54365734479253e-05	2.32772875735994e-05	5.02877625524685e-06	1.32140236266391e-05	6.08852349158056e-07	9.98815627763564e-06	1.3422982666765e-05	1.72939921822009e-05	2.94000796980752e-05	9.87349385566105e-06	1.65834708009916e-06	4.82683827983039e-05	7.17434338605152e-06	1.90869293242628e-05	0.000223305978121539	3.34914657840782e-05	2.91649125578726e-05	9.40841760314184e-05	0.000207842875367732	2.25507087883106e-05	3.36497050439372e-05	1.60129544077256e-05	1.51329319410979e-05	1.58807633833416e-05	2.26270244457648e-05	1.97082770152965e-05	7.78156985586169e-05	0.00878945917494153	4.10026225756301e-05
Acidovorax	2.19226147149955e-07	0	2.16734302749076e-07	3.70481642871698e-06	4.37589730131959e-07	0	0	6.46207229321721e-06	6.28589371605113e-08	4.03055910059041e-07	5.17668438286124e-07	2.10259840541702e-07	0	4.343831229602e-07	6.42780045452086e-07	0	1.71535307625938e-06	0	4.32699311198971e-06	0	4.35280478188007e-07	2.21059087438882e-07	3.6647654278521e-07	2.4837435364694e-06	6.53384825032159e-07	9.87144739015462e-06	0	4.15125736716837e-06	3.53265673510915e-07	8.46944702115143e-07	1.44687134660258e-06	4.31469391869737e-07	5.87083670766312e-06	0	0	0	0	0	9.62864774598497e-07	0	0
Aciduliprofundum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.38438591802145e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
