"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","median","ET_B_median","ET_P_median","FDR"
"Argininosuccinic","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.588756359216887,"ET_P","1","1",0.03,"0.02","0.03",0.912572356786175
"aminoadipic_acid_2","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.770258243162941,"ET_P","1","1",0.69,"0.67","0.74",0.95216337364801
"Alanine_b","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.327614018842073,"ET_B","1","1",1.24,"1.26","1.24",0.912572356786175
"Methyl_histidine_1","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.890733478573945,"ET_P","1","1",1.245,"1.12","1.34",0.95216337364801
"Methyl_histidine_3","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.279262974091567,"ET_B","1","1",3.345,"3.4","3.25",0.912572356786175
"Aspartate","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.491962737042433,"ET_B","1","1",3.605,"3.68","3.45",0.912572356786175
"Hydroxyproline","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.945237908909543,"ET_B","1","1",7.375,"7.68","6.8",0.976745839206528
"Ethanolamine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.877177530566796,"ET_B","1","1",7.715,"7.72","7.71",0.95216337364801
"aminoisobutyric_acid","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.207249138496276,"ET_B","1","1",21.265,"22.02","18.45",0.912572356786175
"Methionine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.396291353596856,"ET_B","1","1",25.135,"25.74","24.34",0.912572356786175
"Citrulline","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.865760111408872,"ET_P","1","1",25.64,"25.59","25.69",0.95216337364801
"Cysteine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.377524961098212,"ET_B","1","1",33.89,"33.92","32.53",0.912572356786175
"Glutamate","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.684744819559647,"ET_P","1","1",37.915,"36.02","43.14",0.949607879427437
"Taurine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.0161278538396905,"ET_B","1","1",43.695,"44.47","40.95",0.499963469030405
"Asparagine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",1,"ET_B","1","1",46.915,"48.77","46.23",1
"Tryptophan","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.588032506291356,"ET_P","1","1",52.395,"51.17","53.65",0.912572356786175
"Phenylalanine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.336233949083705,"ET_B","1","1",52.945,"53.09","50.63",0.912572356786175
"Isoleucine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.291884580857623,"ET_B","1","1",60.145,"62.12","59.12",0.912572356786175
"Arginine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.106490598218768,"ET_B","1","1",62.825,"63.84","60.3",0.912572356786175
"Tyrosine","Before ET_B_vs_ET_P","ET_B25_vs_ET_P11",0.588032506291356,"ET_B","1","1",68.895,"69.29","67.81",0.912572356786175
