"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","mean","ET_B_mean","ET_P_mean","Zscore","FDR"
"Taurine","Before",18,0.0161278538396905,"ET_B","1","1",44.4194444444444,"46.436+/-8.277","39.837+/-4.395",-2.40600930686877,0.499963469030405
"Arginine","Before",18,0.106490598218768,"ET_B","1","1",65.2586111111111,"67.78+/-13.533","59.528+/-9.212",-1.61416981110416,0.912572356786175
"aminoisobutyric_acid","Before",18,0.207249138496276,"ET_B","1","1",21.1244444444444,"21.934+/-5.906","19.284+/-3.92",-1.2611657421543,0.912572356786175
"Glycine","Before",18,0.247116540064587,"ET_B","1","1",215.192222222222,"219.352+/-39.839","205.737+/-46.374",-1.15738147292043,0.912572356786175
"Methyl_histidine_3","Before",18,0.279262974091567,"ET_B","1","1",3.36555555555556,"3.463+/-1.034","3.145+/-0.749",-1.0819764912269,0.912572356786175
"Isoleucine","Before",18,0.291884580857623,"ET_B","1","1",61.1802777777778,"62.357+/-11.612","58.506+/-8.182",-1.05399636610249,0.912572356786175
"Histidine","Before",18,0.307910388326537,"ET_B","1","1",90.6158333333333,"92.601+/-12.837","86.104+/-12.357",-1.0196164751277,0.912572356786175
"Alanine_b","Before",18,0.327614018842073,"ET_B","1","1",1.32777777777778,"1.386+/-0.555","1.196+/-0.368",-0.978931111110055,0.912572356786175
"Phenylalanine","Before",18,0.336233949083705,"ET_B","1","1",54.1227777777778,"54.687+/-7.828","52.841+/-6.095",-0.961633078955668,0.912572356786175
"Glutamine","Before",18,0.359299419357981,"ET_B","1","1",485.239166666667,"494.289+/-87.656","464.672+/-64.867",-0.916700852315356,0.912572356786175
"Cysteine","Before",18,0.377524961098212,"ET_B","1","1",33.9061111111111,"35.159+/-7.94","31.059+/-10.951",-0.882465809743131,0.912572356786175
"Methionine","Before",18,0.396291353596856,"ET_B","1","1",25.7094444444444,"26.242+/-5.991","24.499+/-2.964",-0.848263296208544,0.912572356786175
"Valine","Before",18,0.476617699455166,"ET_B","1","1",238.663333333333,"241.985+/-32.171","231.115+/-38.487",-0.71175306804356,0.912572356786175
"Aspartate","Before",18,0.491962737042433,"ET_B","1","1",3.63944444444444,"3.687+/-0.81","3.532+/-0.507",-0.687190425529763,0.912572356786175
"Lysine","Before",18,0.519796653057466,"ET_B","1","1",183.568888888889,"184.633+/-21.821","181.15+/-20.768",-0.643658890689796,0.912572356786175
"Leucine","Before",18,0.542095347974429,"ET_B","1","1",108.397222222222,"110.268+/-21.511","104.146+/-19.85",-0.609647486481361,0.912572356786175
"Alanine","Before",18,0.542095347974429,"ET_P","1","1",357.366388888889,"353.12+/-105.567","367.018+/-85.862",0.609647486481361,0.912572356786175
"Tryptophan","Before",18,0.588032506291356,"ET_P","1","1",52.7197222222222,"52.255+/-7.828","53.776+/-7.868",0.541689380990321,0.912572356786175
"Tyrosine","Before",18,0.588032506291356,"ET_B","1","1",67.7766666666667,"67.961+/-9.717","67.358+/-6.926",-0.541689380990321,0.912572356786175
"Argininosuccinic","Before",18,0.588756359216887,"ET_P","1","1",0.0261111111111111,"0.026+/-0.01","0.027+/-0.009",0.540639104235853,0.912572356786175
"Glutamate","Before",18,0.684744819559647,"ET_P","1","1",39.9425,"39.88+/-13.091","40.085+/-10.974",0.405996979775173,0.949607879427437
"Proline","Before",18,0.709808579982957,"ET_P","1","1",191.473611111111,"187.603+/-71.55","200.271+/-86.829",0.372113184906865,0.949607879427437
"Serine","Before",18,0.735180293750274,"ET_B","1","1",100.539166666667,"101.57+/-16.658","98.197+/-18.229",-0.338242708534697,0.949607879427437
"Threonine","Before",18,0.735180293750274,"ET_P","1","1",134.275277777778,"131.66+/-26.394","140.22+/-36.272",0.338242708534697,0.949607879427437
"aminoadipic_acid_2","Before",18,0.770258243162941,"ET_P","1","1",0.728888888888889,"0.725+/-0.21","0.737+/-0.236",0.292037119479748,0.95216337364801
"Ornithine","Before",18,0.839237495669479,"ET_P","1","1",74.3797222222222,"74.346+/-23.91","74.456+/-30.044",0.202868909388618,0.95216337364801
"Citrulline","Before",18,0.865760111408872,"ET_B","1","1",25.0802777777778,"25.156+/-7.034","24.907+/-4.815",-0.169046442238195,0.95216337364801
"Ethanolamine","Before",18,0.877177530566796,"ET_P","1","1",7.82166666666667,"7.806+/-1.334","7.858+/-0.458",0.15454817340359,0.95216337364801
"Methyl_histidine_1","Before",18,0.890733478573945,"ET_B","1","1",3.99,"4.509+/-6.483","2.811+/-3.183",-0.137376154136524,0.95216337364801
"Hydroxyproline","Before",18,0.945237908909543,"ET_P","1","1",9.14388888888889,"9.022+/-5.811","9.42+/-6.14",0.0686880770682622,0.976745839206528
"Asparagine","Before",18,1,"ET_B","1","1",49.7458333333333,"50.172+/-11.943","48.778+/-9.227",0,1
"Argininosuccinic","After",18,0.0997428804194519,"ET_P","1","1",0.0283333333333333,"0.025+/-0.011","0.035+/-0.019",1.64610141868093,1
"aminoadipic_acid_2","After",18,0.235978636765978,"ET_P","1","1",0.845833333333333,"0.808+/-0.265","0.933+/-0.286",1.18509816439848,1
"Glycine","After",18,0.247116540064587,"ET_B","1","1",258.686666666667,"268.785+/-84.283","235.736+/-49.842",-1.15738147292043,1
"Hydroxyproline","After",18,0.261489582475318,"ET_P","1","1",7.76611111111111,"7.454+/-3.807","8.475+/-4.302",1.12287736382393,1
"Aspartate","After",18,0.279324867585578,"ET_B","1","1",4.11666666666667,"4.265+/-1.104","3.78+/-0.88",-1.08183721382513,1
"Alanine","After",18,0.324489130335496,"ET_P","1","1",384.471388888889,"367.809+/-92.227","422.341+/-132.986",0.985274753427886,1
"Tyrosine","After",18,0.341619531929026,"ET_B","1","1",51.5741666666667,"52.851+/-13.464","48.672+/-6.566",-0.950970144229034,1
"Asparagine","After",18,0.435419723730265,"ET_B","1","1",51.2463888888889,"51.82+/-11.493","49.943+/-9.027",-0.779950989611999,1
