"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","median","ET_B_median","ET_P_median","FDR"
"Ethanoligenens","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.347538543347314,"ET_P","0.8571","0.9231",8.45223710263674e-07,"7.90331040946357e-07","1.84300886860385e-06",0.724792111671516
"Anaerococcus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.090266471353703,"ET_B","1","0.9231",9.85636652417994e-07,"1.23642709518415e-06","7.22280116341981e-07",0.498826445721489
"Anaerofustis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.551689816059344,"ET_B","1","1",1.01710551987686e-06,"1.11250300352756e-06","7.93535585572873e-07",0.868618008263648
"Actinomyces","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.515175681338534,"ET_B","1","1",1.01788207325791e-06,"1.1289704566257e-06","9.14946757853851e-07",0.868618008263648
"Mitsuokella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.284785500668511,"ET_P","1","1",1.08147250419161e-06,"9.84980803095034e-07","1.144508110804e-06",0.658566470295932
"Histophilus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.583924757232605,"ET_B","0.75","1",1.1084476429496e-06,"4.30176687244051e-06","9.4478355414027e-07",0.872308676936972
"Neisseria","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.192265029889564,"ET_P","0.8571","0.9231",1.26153441817762e-06,"8.65879210105123e-07","2.86668170224624e-06",0.578165657311602
"Bacillus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.944158218729418,"ET_P","0.9286","1",1.3737996992321e-06,"1.29559312922707e-06","1.3737996992321e-06",1
"Granulicatella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.515175681338534,"ET_P","1","1",1.43655186619762e-06,"1.37214159288386e-06","1.75753604829299e-06",0.868618008263648
"Shuttleworthia","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",1,"ET_P","0.8571","1",1.48544694331918e-06,"1.36908337346686e-06","1.51097747236533e-06",1
"Peptoniphilus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.142872404895753,"ET_B","1","0.9231",1.51166141785574e-06,"1.69303459814224e-06","6.59100324576766e-07",0.531368365263889
"Paracoccus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.106883825350258,"ET_B","0.8929","0.8462",1.54439902571679e-06,"1.93907397017003e-06","8.89722121828838e-07",0.498826445721489
"Atopobium","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.551689816059344,"ET_P","1","1",1.55099649478805e-06,"1.28466189971553e-06","1.84496465708259e-06",0.868618008263648
"Lactococcus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.771551116478816,"ET_B","1","1",2.05651949732511e-06,"2.31393989660906e-06","1.90640539344252e-06",0.920883590636006
"Staphylococcus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.174189740404021,"ET_B","1","0.8462",2.23459077492443e-06,"2.53550787972452e-06","2.0482669648781e-06",0.560436556082502
"Aggregatibacter","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.15079372527759,"ET_P","1","1",2.46119421233798e-06,"2.08208677773186e-06","6.71002382676354e-06",0.531368365263889
"Abiotrophia","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.688353475444303,"ET_P","1","1",2.98999356961804e-06,"2.50086370455936e-06","4.28740289650558e-06",0.889072983471048
"Treponema","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.589397754687143,"ET_P","1","1",3.43152393376839e-06,"3.30748652377151e-06","3.43152393376839e-06",0.872308676936972
"Gemella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.551689816059344,"ET_P","1","1",3.9660226178938e-06,"3.78081650372985e-06","5.25868745579673e-06",0.868618008263648
"Mobiluncus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.628220946938053,"ET_B","1","1",4.02649042390054e-06,"6.43091258727259e-06","4.01489914867426e-06",0.889072983471048
"Peptostreptococcus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",1,"ET_B","1","1",4.13112815667613e-06,"4.3881066536925e-06","3.87097039062336e-06",1
"Desulfovibrio","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",1,"ET_B","1","1",7.07019864579302e-06,"8.54264521339413e-06","7.07019864579302e-06",1
"Salmonella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.668072053576503,"ET_P","1","1",7.63641173167209e-06,"7.60450477064974e-06","7.63641173167209e-06",0.889072983471048
"Turicibacter","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.167604691470247,"ET_P","0.9643","1",7.66947914114215e-06,"5.54200959101918e-06","1.13377068454968e-05",0.560436556082502
"Porphyromonas","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.771551116478816,"ET_B","1","1",8.23494377530436e-06,"1.07830712488966e-05","7.57133222197805e-06",0.920883590636006
"Oribacterium","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.988972859820229,"ET_P","1","1",8.71727639505681e-06,"8.00748988728957e-06","9.60132149894998e-06",1
"Tannerella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.215535351289476,"ET_B","1","1",9.87838066561856e-06,"1.07706242655487e-05","5.96025300122519e-06",0.590726518348934
"Lactobacillus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.688353475444303,"ET_P","1","1",1.01686944923096e-05,"9.52656730339703e-06","1.59106590053669e-05",0.889072983471048
"Anaerostipes","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0108134958162009,"ET_B","1","1",1.1171008998583e-05,"1.21129800436467e-05","7.68785129987761e-06",0.133366448399811
"Dialister","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0618656755923389,"ET_P","1","1",1.20027501887911e-05,"5.57279542665598e-06","0.000191852842835104",0.498826445721489
"Eggerthella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.00107549216092046,"ET_B","1","1",1.31647777488784e-05,"1.72533541658268e-05","7.73277960628305e-06",0.0198966049770285
"Oxalobacter","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.708855486821511,"ET_P","1","1",1.3234720854169e-05,"9.26133026791355e-06","3.82584637572712e-05",0.889072983471048
"Akkermansia","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.429544694436273,"ET_P","1","1",1.42451490171646e-05,"8.04988298597617e-06","0.000306744925691174",0.8364817733759
"Megasphaera","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.107854366642484,"ET_P","1","1",1.4680140097153e-05,"1.02661893764714e-05","2.91560473066406e-05",0.498826445721489
"Burkholderia","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0618656755923389,"ET_B","1","1",1.67632268560564e-05,"2.06004729636678e-05","1.28157150008534e-05",0.498826445721489
"Acidaminococcus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.668072053576503,"ET_P","1","1",1.8869542830883e-05,"1.79104047889501e-05","2.33832383012779e-05",0.889072983471048
"Citrobacter","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.988972859820228,"ET_P","1","1",1.96192560020913e-05,"1.91655061034593e-05","1.96192560020913e-05",1
"Fusobacterium","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.00150946337896574,"ET_B","1","1",2.52556964050638e-05,"6.65829458594671e-05","5.18624955626973e-06",0.022340058008693
"Enterobacter","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.857390396689518,"ET_P","1","1",2.89605994235403e-05,"2.78010501883068e-05","5.43175316280055e-05",0.991357646172255
"Klebsiella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.792799768093627,"ET_B","1","1",4.99173465513315e-05,"5.1993805408573e-05","4.46401478929631e-05",0.931225124427435
"Oscillibacter","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.628220946938053,"ET_P","1","1",5.5323009561819e-05,"5.19057431188722e-05","8.215285218508e-05",0.889072983471048
"Campylobacter","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.090266471353703,"ET_B","1","1",5.66420182091224e-05,"5.91125581182051e-05","3.9499817852888e-05",0.498826445721489
"Sutterella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.771551116478816,"ET_B","1","1",6.1239064193167e-05,"6.35914701081037e-05","4.10128622914388e-05",0.920883590636006
"Collinsella","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.429544694436273,"ET_P","1","1",7.74507933468563e-05,"7.20501926158817e-05","9.09708768786854e-05",0.8364817733759
"Phascolarctobacterium","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.515175681338534,"ET_B","1","1",8.35571949657942e-05,"9.08766884599356e-05","6.75844723933711e-05",0.868618008263648
"Coprobacillus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.195326235578244,"ET_B","1","1",0.000136841786283991,"0.000148642580093315","0.000131686301233687",0.578165657311602
