"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","median","ET_B_median","ET_P_median","FDR"
"Acidaminococcus_intestini","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.113121361174897,"ET_P",0.8571,0.9231,7.32129739967867e-07,"6.40747393972975e-07","2.62070576680889e-06",0.37708621489765
"Desulfovibrio_piger","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.445996626203043,"ET_B",1,1,7.73591701615419e-07,"8.07485113232509e-07","3.7948903004501e-07",0.79128433681185
"Klebsiella_pneumoniae","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.663826714949053,"ET_B",0.8929,0.8462,8.58684390751055e-07,"1.03185964750345e-06","7.28146553828649e-07",0.896194218212382
"Mitsuokella_multacida","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.248522085860018,"ET_P",0.9643,1,1.0188291540378e-06,"7.59438063311488e-07","1.02522889831229e-06",0.630863756413892
"Clostridiales_genomosp._BVAB3","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.148441331412417,"ET_P",0.7857,1,1.13686069543539e-06,"3.00123461148862e-07","1.26260243843542e-06",0.466927758047729
"Bifidobacterium_breve","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.771551116478816,"ET_P",1,0.9231,1.13852810551771e-06,"1.03436112165106e-06","2.06175139447713e-06",0.94194783432012
"Mobiluncus_curtisii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.565720746593244,"ET_P",0.9286,1,1.24067237535295e-06,"1.21074562446281e-06","1.24067237535295e-06",0.865787960246995
"Streptococcus_sanguinis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.966926844578101,"ET_B",1,1,1.3008181467393e-06,"1.42253018027171e-06","1.3008181467393e-06",0.978790977640409
"Streptococcus_anginosus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.462791900749742,"ET_B",1,1,1.31682882168764e-06,"1.37025522402621e-06","1.08353217759521e-06",0.80379645919692
"Treponema_vincentii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.966926844578101,"ET_B",1,1,1.32496658378972e-06,"1.35783525172858e-06","1.31160151237791e-06",0.978790977640409
"Enterobacter_aerogenes","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.966926844578101,"ET_B",0.9643,1,1.34086698598437e-06,"1.38276141403175e-06","1.30351325333243e-06",0.978790977640409
