"","SumsOfSample","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)","FDR"
"Arginine",36,1,0.206737701096725,0.206737701096725,1.08929840511189,0.0310436074422395,0.301698301698302,0.919080919080919
"Histidine",36,1,0.119965010445821,0.119965010445821,0.623707061666743,0.0180138729962071,0.782217782217782,0.919080919080919
"Isoleucine",36,1,0.19462016821979,0.19462016821979,1.02352923203131,0.0292240460762938,0.384615384615385,0.919080919080919
"Leucine",36,1,0.0807695706530093,0.0807695706530093,0.417425188274431,0.0121283095987274,0.919080919080919,0.919080919080919
"Lysine",36,1,0.198471134406794,0.198471134406794,1.0444040104303,0.0298023048164681,0.367632367632368,0.919080919080919
"Methionine",36,1,0.167220648304356,0.167220648304356,0.875720655765867,0.0251097508323771,0.507492507492508,0.919080919080919
"Phenylalanine",36,1,0.161669306258746,0.161669306258746,0.845925424291209,0.0242761646875795,0.542457542457542,0.919080919080919
"Threonine",36,1,0.209243817390659,0.209243817390659,1.1029314502987,0.0314199243405158,0.342657342657343,0.919080919080919
"Tryptophan",36,1,0.128282207691431,0.128282207691431,0.667798108256428,0.0192627782754217,0.714285714285714,0.919080919080919
"Valine",36,1,0.108030255006276,0.108030255006276,0.560634223236473,0.01622175737908,0.819180819180819,0.919080919080919
"Glycine",36,1,0.16155648061811,0.16155648061811,0.845320392971909,0.0242592228580112,0.498501498501498,0.919080919080919
"Serine",36,1,0.198968369968111,0.198968369968111,1.04710116940365,0.0298769694058969,0.366633366633367,0.919080919080919
"Taurine",36,1,0.123334612013912,0.123334612013912,0.641556440052661,0.0185198503180097,0.741258741258741,0.919080919080919
"Tyrosine",36,1,0.140534882849354,0.140534882849354,0.732956824338618,0.0211026325240761,0.622377622377622,0.919080919080919
"aminoadipic_acid_2",36,1,0.0913074463706378,0.0913074463706378,0.472643053846939,0.0137106706065056,0.892107892107892,0.919080919080919
"Asparagine",36,1,0.168189025407324,0.168189025407324,0.880923361451922,0.0252551617491141,0.523476523476524,0.919080919080919
"Aspartate",36,1,0.14326302313685,0.14326302313685,0.747498202872146,0.0215122884101728,0.654345654345654,0.919080919080919
"Citrulline",36,1,0.186206920563964,0.186206920563964,0.978010279021178,0.0279607179259068,0.395604395604396,0.919080919080919
"Glutamine",36,1,0.256443338559573,0.256443338559573,1.36168571835723,0.0385073757287069,0.17982017982018,0.919080919080919
"Glutamate",36,1,0.0885444614664544,0.0885444614664544,0.458148040806151,0.0132957824739624,0.896103896103896,0.919080919080919
"Ornithine",36,1,0.130585230040879,0.130585230040879,0.680026727367471,0.019608598710532,0.692307692307692,0.919080919080919
"Cysteine",36,1,0.213934284253373,0.213934284253373,1.12847565265862,0.0321242419915029,0.308691308691309,0.919080919080919
"Methyl_histidine_1",36,1,0.272800307355693,0.272800307355693,1.45224921077819,0.0409635282135124,0.178821178821179,0.919080919080919
"Methyl_histidine_3",36,1,0.179914615231293,0.179914615231293,0.944043713753004,0.0270158691846374,0.44955044955045,0.919080919080919
"aminoisobutyric_acid",36,1,0.108238473541093,0.108238473541093,0.561732647656317,0.016253023347613,0.838161838161838,0.919080919080919
"Alanine",36,1,0.160837130220872,0.160837130220872,0.841463346066897,0.0241512056399286,0.504495504495505,0.919080919080919
"Argininosuccinic",36,1,0.116169899056668,0.116169899056668,0.603625694312789,0.0174440013785028,0.771228771228771,0.919080919080919
"Alanine_b",36,1,0.11421088677732,0.11421088677732,0.593268933407929,0.0171498372862643,0.794205794205794,0.919080919080919
"Ethanolamine",36,1,0.222758037786409,0.222758037786409,1.17663055365334,0.0334492114547092,0.262737262737263,0.919080919080919
"Hydroxyproline",36,1,0.121586664773813,0.121586664773813,0.632294956255554,0.0182573796236782,0.7002997002997,0.919080919080919
"Proline",36,1,0.149078959276545,0.149078959276545,0.778538658204745,0.0223856058431908,0.538461538461538,0.919080919080919
