"Type","meal","PID","amount","Cal","CHO","Fat","Pro"
"D1","D11","P48",200,92,78.400001528,5.400000216,8.800000192
"D1","D11","P35",50,116.5,96.59999848,4.5,15.600000382
"D1","D11","P653",50,69,3,40.5,25.39999962
"D1","D11","P782",50,119,50.40000152,52.20000171,16.200000762
"D1","D11",NA,350,396.5,228.400001528,102.600001926,66.000000956
"D1","D21","P44",225,256.5,230.40000342,4.05000006075,22.5
"D1","D21",NA,225,256.5,230.40000342,4.05000006075,22.5
"D1","D31","P579",100,133,10,45,77.59999848
"D1","D31","P823",20,15.2,13.2,0.3600000054,1.6
"D1","D31","P191",20,7.4,6.1599998472,0.3600000054,0.8
"D1","D31","P1092",1,8.99,0,8.9910001377,0
"D1","D31",NA,141,164.59,29.3599998472,54.7110001485,79.99999848
"D1","D41","P906",100,11,7.599999904,1.800000027,1.600000024
"D1","D41","P525",10,39.5,0.960000038,33.3,5.279999924
"D1","D41","P1092",1,8.99,0,8.9910001377,0
"D1","D41",NA,111,59.49,8.559999942,44.0910001647,6.879999948
"D1","D51","P215",100,20,7.199999808,5.400000216,7.599999904
"D1","D51","P223",50,11.5,5.400000096,0.9000000135,5.400000096
"D1","D51","P1092",2,17.98,0,17.9820002754,0
"D1","D51",NA,152,49.48,12.599999904,24.2820005049,13
"D2","D11","P69",200,92,67.199996952,12.599999784,11.199999808
"D2","D11","P187",100,99,92.40000152,1.800000027,4.400000096
"D2","D11","P653",50,69,3,40.5,25.39999962
"D2","D11","P782",50,119,50.40000152,52.20000171,16.200000762
"D2","D11",NA,400,379,212.999999992,107.100001521,57.200000286
"D2","D21","P44",225,256.5,230.40000342,4.05000006075,22.5
"D2","D21",NA,225,256.5,230.40000342,4.05000006075,22.5
"D2","D31","P462",100,190,0,120.59999658,72.40000152
"D2","D31","P918",50,9.5,7,0.4500000045,2
"D2","D31","P1092",1,8.99,0,8.9910001377,0
"D2","D31",NA,151,208.49,7,130.0409967222,74.40000152
"D2","D41","P239",50,10.5,6.80000019,0.9000000135,3
"D2","D41","P218",10,3.9,3.2400001524,0.1800000027,0.4400000096
"D2","D41","P1092",1,8.99,0,8.9910001377,0
"D2","D41",NA,61,23.39,10.0400003424,10.0710001539,3.4400000096
"D2","D51","P893",150,25.5,1.800000072,6.75,17.40000057
"D2","D51","P663",40,68.4,7.2,38.519999316,22.719999696
"D2","D51","P1092",2,17.98,0,17.9820002754,0
"D2","D51",NA,192,111.88,9.000000072,63.2519995914,40.120000266
"D3","D11","P111",200,26,0,12.599999784,14.399999616
"D3","D11","P77",100,106,79.59999848,10.800000432,16
"D3","D11","P653",50,69,3,40.5,25.39999962
"D3","D11","P782",50,119,50.40000152,52.20000171,16.200000762
"D3","D11",NA,400,320,133,116.100001926,71.999999998
"D3","D21","P44",225,256.5,230.40000342,4.05000006075,22.5
"D3","D21",NA,225,256.5,230.40000342,4.05000006075,22.5
"D3","D31","P548",80,222.4,2.2399999616,166.320002736,53.440002432
"D3","D31","P939",5,4.05,2.960000038,0.09000000135,0.980000019
"D3","D31","P1092",1,8.99,0,8.9910001377,0
"D3","D31",NA,86,235.44,5.1999999996,175.40100287505,54.420002451
"D3","D41","P857",50,11,5.400000096,0.9000000135,4.599999904
"D3","D41","P653",50,69,3,40.5,25.39999962
"D3","D41","P1092",1,8.99,0,8.9910001377,0
"D3","D41",NA,101,88.99,8.400000096,50.3910001512,29.999999524
"D3","D51","P890",150,22.5,9.600000144,4.050000162,9
"D3","D51","P248",50,9.5,3.799999952,1.350000054,4.400000096
"D3","D51","P1092",1,8.99,0,8.9910001377,0
"D3","D51",NA,201,40.99,13.400000096,14.3910003537,13.400000096
"D4","D11","P111",200,26,0,12.599999784,14.399999616
"D4","D11","P77",100,106,79.59999848,10.800000432,16
"D4","D11","P653",50,69,3,40.5,25.39999962
"D4","D11","P782",50,119,50.40000152,52.20000171,16.200000762
"D4","D11",NA,400,320,133,116.100001926,71.999999998
"D4","D21","P44",225,256.5,230.40000342,4.05000006075,22.5
"D4","D21",NA,225,256.5,230.40000342,4.05000006075,22.5
"D4","D31","P1020",100,127,12.39999962,44.100000855,70.80000304
"D4","D31","P1092",2,17.98,0,17.9820002754,0
"D4","D31",NA,102,144.98,12.39999962,62.0820011304,70.80000304
"D4","D41","P95",20,28,8.559999848,6.479999829,12.960000608
"D4","D41","P936",50,11,8,0.9000000135,2
"D4","D41","P1092",1,8.99,0,8.9910001377,0
"D4","D41",NA,71,47.99,16.559999848,16.3709999802,14.960000608
"D4","D51","P856",100,26,12.800000192,3.600000054,9.60000038
"D4","D51","P172",100,18,8.39999962,0.900000009,8.39999962
"D4","D51","P1092",2,17.98,0,17.9820002754,0
"D4","D51",NA,202,61.98,21.199999812,22.4820003384,18
"D5","D11","P69",200,92,67.199996952,12.599999784,11.199999808
"D5","D11","P187",100,99,92.40000152,1.800000027,4.400000096
"D5","D11","P653",50,69,3,40.5,25.39999962
"D5","D11","P782",50,119,50.40000152,52.20000171,16.200000762
"D5","D11",NA,400,379,212.999999992,107.100001521,57.200000286
"D5","D21","P44",225,256.5,230.40000342,4.05000006075,22.5
"D5","D21",NA,225,256.5,230.40000342,4.05000006075,22.5
"D5","D31","P1052",100,100,0,30.600000855,74.40000152
"D5","D31","P1092",1,8.99,0,8.9910001377,0
"D5","D31",NA,101,108.99,0,39.5910009927,74.40000152
"D5","D41","P145",20,38.4,2.6399999616,22.5,13.2
"D5","D41","P237",50,10,4,0.4500000045,5.400000096
"D5","D41","P1092",2,17.98,0,17.9820002754,0
"D5","D41",NA,72,66.38,6.6399999616,40.9320002799,18.600000096
"D5","D51","P215",200,40,14.399999616,10.800000432,15.199999808
"D5","D51","P840",5,6.3,5.3,0.09000000135,0.9
"D5","D51","P1092",3,26.97,0,26.9730004131,0
"D5","D51",NA,208,73.27,19.699999616,37.86300084645,16.099999808
