"meal","amount","Cal","CHO","Fat","Pro","Type"
"D11",350,396.5,228.400001528,102.600001926,66.000000956,"D1"
"D12",560,459.646236998477,223.377697572967,121.067101185008,115.459768124028,"D1"
"D13",560,459.646236998477,223.377697572967,121.067101185008,115.459768124028,"D1"
"D1_total",1470,1315.79247399695,675.155396673935,344.734204296015,296.919537204055,"D1"
"D1_ratio",NA,NA,0.513116931443627,0.261997397848632,0.225658333720446,"D1"
"D11",400,379,212.999999992,107.100001521,57.200000286,"D2"
"D12",595,541.227492151594,205.695786988485,206.401196559758,133.11433913196,"D2"
"D13",595,541.227492151594,205.695786988485,206.401196559758,133.11433913196,"D2"
"D1_total",1590,1461.45498430319,624.39157396897,519.902394640515,323.428678549919,"D2"
"D1_ratio",NA,NA,0.427239689675885,0.355743009688664,0.221305946487382,"D2"
"D11",400,320,133,116.100001926,71.999999998,"D3"
"D12",450,487.457961172723,193.075627846704,201.909315832171,92.4747430784666,"D3"
"D13",450,487.457961172723,193.075627846704,201.909315832171,92.4747430784666,"D3"
"D1_total",1300,1294.91592234545,519.151255693408,519.918633590341,256.949486154933,"D3"
"D1_ratio",NA,NA,0.400915029875518,0.401507638155091,0.198429474625293,"D3"
"D11",400,320,133,116.100001926,71.999999998,"D4"
"D12",670,607.03239573336,242.707769600748,170.106566753706,194.715740942316,"D4"
"D13",670,607.03239573336,242.707769600748,170.106566753706,194.715740942316,"D4"
"D1_total",1740,1534.06479146672,618.415539201495,456.313135433412,461.431481882632,"D4"
"D1_ratio",NA,NA,0.40312217752565,0.297453626451547,0.300790086865534,"D4"
"D11",400,379,212.999999992,107.100001521,57.200000286,"D5"
"D12",640,544.609816366252,199.477865425299,157.659753668873,197.890838155989,"D5"
"D13",640,544.609816366252,199.477865425299,157.659753668873,197.890838155989,"D5"
"D1_total",1680,1468.2196327325,611.955730842598,422.419508858746,452.981676597978,"D5"
"D1_ratio",NA,NA,0.416801217746753,0.287708663909214,0.308524464936444,"D5"
