PID,Cal,CHO,Fat,Pro
P1092,899,0,99.90000153,0
P223,23,2.700000048,0.200000003,2.700000048
P840,126,26.5,0.200000003,4.5
P1020,127,3.099999905,4.900000095,17.70000076
P906,11,1.899999976,0.200000003,0.400000006
P95,140,10.69999981,3.599999905,16.20000076
P111,13,0,0.699999988,1.799999952
P939,81,14.80000019,0.200000003,4.900000095
P239,21,3.400000095,0.200000003,1.5
P187,99,23.10000038,0.200000003,1.100000024
P191,37,7.699999809,0.200000003,1
P653,138,1.5,9,12.69999981
P579,133,2.5,5,19.39999962
P856,26,3.200000048,0.400000006,2.400000095
P857,22,2.700000048,0.200000003,2.299999952
P918,19,3.5,0.100000001,1
P1052,100,0,3.400000095,18.60000038
P172,18,2.099999905,0.100000001,2.099999905
P35,233,48.29999924,1,7.800000191
P44,114,25.60000038,0.200000003,2.5
P48,46,9.800000191,0.300000012,1.100000024
P237,20,2,0.100000001,2.700000048
P462,190,0,13.39999962,18.10000038
P663,171,4.5,10.69999981,14.19999981
P936,22,4,0.200000003,1
P145,192,3.299999952,12.5,16.5
P782,238,25.20000076,11.60000038,8.100000381
P823,76,16.5,0.200000003,2
P893,17,0.300000012,0.5,2.900000095
P248,19,1.899999976,0.300000012,2.200000048
P890,15,1.600000024,0.300000012,1.5
P69,46,8.399999619,0.699999988,1.399999976
P218,39,8.100000381,0.200000003,1.100000024
P215,20,1.799999952,0.600000024,1.899999976
P77,106,19.89999962,1.200000048,4
P548,278,0.699999988,23.10000038,16.70000076
P525,395,2.400000095,37,13.19999981
